optimized_transaction_date_month,Average Monthly Spending,Monthly Turnover,Monthly Inflow,Monthly Outflow
1,53.27256198347107,6445.98,2440.33,4005.65
2,61.10351351351351,6782.49,3224.23,3558.26
3,78.33417322834646,9948.44,5130.90,4817.54
4,52.92782608695652,7304.04,3418.41,3885.63
5,59.56901960784313,9114.06,4722.19,4391.87
6,51.43137931034483,5966.04,2343.66,3622.38
7,44.55198347107438,5390.79,2704.87,2685.92
8,83.91564102564102,9818.13,5571.86,4246.27
9,69.61771929824562,7936.42,3540.62,4395.80
10,63.91936936936937,7095.05,3618.78,3476.27
11,89.40491228070175,10192.16,5514.85,4677.31
12,57.09247933884297,6908.19,3106.79,3801.40
